location,IDPs,Migrants,Host,Refugee,Returnee,Total
YE14172111400,,,5,,,5
YE14172111700,,,5,,,5
YE14152112900,5,,5,,,10
YE14152113100,,,,,5,5
YE14152111900,5,,5,,,10
YE14152110700,5,,,,30,35
YE14152113400,,,5,,,5
YE30062212000,,,,,5,5
YE30062212100,,,,,5,5
YE30062112900,,,,,30,30
YE30062200101,15,,,,35,50
YE30062225600,,,5,,,5
YE30062216600,,,5,,,5
YE30062211100,10,,,,,10
YE30062134300,,,5,,,5
YE30062115400,,,,,10,10
YE14132100160,,,5,,,5
YE30062214800,,,5,,,5
YE30062118500,5,0,0,35,5,45
YE30062134500,,,5,,,5
YE30062116700,,,,,5,5
YE30062129700,,,5,,,5
YE30082422600,5,,,,,5
YE30082136500,,,5,,,5
YE30082148600,,,5,,,5
YE30082159500,5,,,,,5
YE30082423300,5,,,,,5
YE30082144200,,,5,,,5
YE30082421900,5,,,,,5
YE30082215000,,,5,,,5
YE30092511400,,,5,,,5
YE30092510800,,,5,,,5
YE30092510300,,,5,,,5
YE30092511500,5,,,,,5
YE30092910200,5,,,,,5
YE30092910400,5,,,,,5
YE30092110800,,,5,,,5
YE30092110700,,,5,,,5
YE30092110600,,,5,,,5
YE30092111500,10,,,,,10
YE30052213700,,,,,10,10
YE30052213800,,,,,5,5
YE30052214100,5,,,,10,15
YE30052213300,,,,,15,15
YE30052213900,,,,,5,5
YE30052211500,,,5,,,5
YE30052116700,,,5,,,5
YE30052222300,,,5,,,5
YE30052110800,5,,,,,5
YE30052114400,5,,,,,5
YE30042216600,5,,,,,5
YE30042123100,5,,,,,5
YE30042220900,,,5,,,5
YE30042216300,,,5,,,5
YE30042223700,,,5,,,5
YE30042222100,,,5,,,5
YE30022511200,,,,,5,5
YE30022511000,5,,,,,5
YE30022810100,5,,,,,5
YE30022810200,,,5,,,5
YE30022110100,5,,,,,5
YE30022100100,15,,,,25,40
YE30062100130,,,5,,,5
YE30022210400,,,5,,,5
YE30022210300,,,,,5,5
YE30022610300,5,,5,,5,15
YE30022610600,,,5,,,5
YE30022310800,5,,,,,5
YE30072212100,5,,,,,5
YE30072213500,10,,,,,10
YE30072229400,,,5,,,5
YE30072123900,,,5,,,5
YE30072213900,,,5,,,5
YE30072125800,,,,,15,15
YE30072126500,5,,,,,5
YE30072122400,,,5,,,5
YE30012310400,,,5,,,5
YE30012510100,5,,5,,,10
YE30012100101,5,,,,,5
YE30022100130,,,5,,,5
YE30012110100,5,,,,,5
YE30012610600,,,5,,,5
YE30032510800,,,5,,,5
YE30032510100,5,,,,,5
YE30032510300,,,5,,,5
YE30032510700,,,,,5,5
YE30032510200,,,5,,,5
YE30032611100,,,5,,,5
YE30032610900,5,,,,,5
YE30032810100,5,,,,,5
YE30032210700,,,5,,,5
YE30032211200,,,5,,,5
YE30032210400,5,0,0,25,5,35
YE30032210100,5,,,,,5
YE30032210600,,,,,5,5
YE30032710100,,,5,,,5
YE30012100130,,,5,,,5
YE30032110500,,,,,5,5
YE30032100100,20,,,,5,25
YE30032100130,,,5,,,5
YE18092110800,,,5,,,5
YE18092111700,,,5,,,5
YE18092200201,5,,,,,5
YE18092210100,10,,,,,10
YE18092210300,5,,,,,5
YE18092100130,,,5,,,5
YE18092210900,,,5,,,5
YE18142710200,,,5,,,5
YE18142910700,10,,,,,10
YE18142910900,5,,,,,5
YE18092200130,,,5,,,5
